Chart,Purpose,Element,Interactions,value
Dashboard,Analyzing,Toolbar,Filtering,0.25
Dashboard,Analyzing,Overview Map,Highlighting,0.25
Dashboard,Analyzing,Table,Categorizing,0.25
Dashboard,Analyzing,Grid Map,Zooming and panning,0.0833
Dashboard,Analyzing,Grid Map,Clicking,0.0833
Dashboard,Analyzing,Grid Map,Toolip,0.0833
Dashboard,Analyzing,Table,Highlighting,0.1
Dashboard,Analyzing,Table,Ranking,0.1
Dashboard,Analyzing,Heat Map,Toolip,0.05
Dashboard,Analyzing,Heat Map,Clicking,0.05
Dashboard,Analyzing,Heat Map,Linked,0.05
Dashboard,Analyzing,Heat Map,Zooming and Panning,0.05
Dashboard,Analyzing,Overview Map,Highlighting,0.2
Dashboard,Analyzing,Histogram,Filtering,0.2
Dashboard,Analyzing,Toolbar,Filtering,0.1
Dashboard,Analyzing,Toolbar,Swiching Mode,0.1
Dashboard,Data management,Parallel Coordinates,Filtering,0.25
Dashboard,Data management,Bar Chart,Categorizing,0.25
Dashboard,Data management,Heat Map,Filtering,0.125
Dashboard,Data management,Heat Map,Zooming and Panning,0.125
Dashboard,Data management,Table,No,0.25
Dashboard,Decision Making,Table,No,0.2
Dashboard,Decision Making,Histogram,No,0.2
Dashboard,Decision Making,Image,No,0.2
Dashboard,Decision Making,Map,Zooming and Panning,0.2
Dashboard,Decision Making,Text,No,0.2
Dashboard,Analyzing,Toolbar,Filtering,0.2
Dashboard,Analyzing,Map,Zooming and Panning,0.2
Dashboard,Analyzing,Calender View,Filtering,0.1
Dashboard,Analyzing,Calender View,Highlighting,0.1
Dashboard,Analyzing,Clock View,No,0.2
Dashboard,Analyzing,Glyph,No,0.2
Dashboard,Analyzing,Toolbar,Filtering,0.1
Dashboard,Analyzing,Toolbar,Configuring,0.1
Dashboard,Analyzing,Box Plot,Filtering,0.2
Dashboard,Analyzing,Parallel Sets,No,0.2
Dashboard,Analyzing,Table,Filtering,0.2
Dashboard,Analyzing,Choropleth Map,Zooming and Panning,0.2
Dashboard,Analyzing,Choropleth Map,Zooming and Panning,0.111
Dashboard,Analyzing,Choropleth Map,Filtering,0.111
Dashboard,Analyzing,Choropleth Map,Clicking,0.111
Dashboard,Analyzing,Histogram,Filtering,0.333
Dashboard,Analyzing,Bar Chart,Filtering,0.333
Dashboard,Decision Making,Point Map,Clicking,0.25
Dashboard,Decision Making,Point Map,Toolip,0.25
Dashboard,Decision Making,Toolbar,Filtering,0.5
Dashboard,Data management,Toolbar,Selecting,0.05
Dashboard,Data management,Toolbar,Filtering,0.05
Dashboard,Data management,Toolbar,Exporting,0.05
Dashboard,Data management,Toolbar,Querying,0.05
Dashboard,Data management,Histogram,No,0.2
Dashboard,Data management,Point Map,Querying,0.2
Dashboard,Data management,Heat Map,No,0.2
Dashboard,Data management,Choropleth Map,Selecting,0.2
